Episode,DQN,DDQN,PERDQN,PERDDQN
510,12.0,17.0,13.0,18.0
511,15.0,17.0,16.0,14.0
512,8.0,16.0,15.0,14.0
513,16.0,7.0,12.0,20.0
514,15.0,16.0,14.0,9.0
515,13.0,12.0,14.0,20.0
516,16.0,9.0,8.0,19.0
517,16.0,13.0,11.0,19.0
518,14.0,12.0,15.0,15.0
519,15.0,12.0,17.0,17.0
520,17.0,17.0,12.0,17.0
521,14.0,15.0,11.0,9.0
522,18.0,18.0,19.0,14.0
523,11.0,14.0,18.0,8.0
524,10.0,16.0,16.0,15.0
525,7.0,13.0,8.0,13.0
526,14.0,12.0,17.0,13.0
527,10.0,10.0,12.0,19.0
528,19.0,9.0,15.0,14.0
529,14.0,12.0,12.0,17.0
530,12.0,16.0,20.0,16.0
531,9.0,19.0,13.0,16.0
532,13.0,21.0,10.0,16.0
533,18.0,20.0,12.0,13.0
534,15.0,5.0,13.0,15.0
535,11.0,12.0,16.0,14.0
536,16.0,11.0,10.0,15.0
537,14.0,21.0,12.0,12.0
538,11.0,18.0,14.0,17.0
539,17.0,16.0,13.0,16.0
540,16.0,15.0,7.0,17.0
541,13.0,14.0,18.0,8.0
542,13.0,15.0,20.0,19.0
543,7.0,15.0,16.0,15.0
544,21.0,17.0,13.0,11.0
545,19.0,13.0,7.0,13.0
546,16.0,14.0,16.0,12.0
547,15.0,14.0,13.0,9.0
548,18.0,11.0,18.0,4.0
549,18.0,12.0,12.0,21.0
550,15.0,14.0,12.0,19.0
551,20.0,17.0,11.0,17.0
552,19.0,17.0,3.0,14.0
553,20.0,18.0,10.0,13.0
554,11.0,15.0,14.0,14.0
555,17.0,16.0,14.0,16.0
556,12.0,9.0,13.0,16.0
557,12.0,13.0,20.0,13.0
558,11.0,18.0,12.0,14.0
559,16.0,16.0,17.0,13.0
560,9.0,15.0,7.0,14.0
561,12.0,12.0,6.0,14.0
562,21.0,16.0,5.0,15.0
563,18.0,17.0,13.0,12.0
564,9.0,16.0,12.0,17.0
565,9.0,16.0,10.0,19.0
566,4.0,20.0,19.0,18.0
567,19.0,15.0,13.0,18.0
568,15.0,8.0,16.0,16.0
569,12.0,12.0,16.0,18.0
570,15.0,16.0,12.0,6.0
571,11.0,10.0,5.0,17.0
572,12.0,12.0,12.0,4.0
573,13.0,12.0,16.0,15.0
574,14.0,14.0,12.0,8.0
575,9.0,16.0,12.0,17.0
576,10.0,16.0,11.0,17.0
577,13.0,15.0,17.0,14.0
578,17.0,14.0,21.0,18.0
579,15.0,6.0,9.0,16.0
580,13.0,12.0,17.0,13.0
581,9.0,14.0,13.0,18.0
582,10.0,18.0,16.0,19.0
583,12.0,16.0,12.0,15.0
584,20.0,15.0,10.0,12.0
585,17.0,15.0,11.0,20.0
586,13.0,17.0,10.0,10.0
587,17.0,14.0,10.0,16.0
588,20.0,14.0,15.0,19.0
589,11.0,12.0,17.0,16.0
590,8.0,16.0,17.0,12.0
591,18.0,16.0,13.0,16.0
592,20.0,20.0,18.0,16.0
593,14.0,18.0,10.0,11.0
594,12.0,14.0,16.0,19.0
595,17.0,15.0,12.0,17.0
596,21.0,8.0,18.0,15.0
597,10.0,13.0,15.0,7.0
598,12.0,21.0,17.0,11.0
599,18.0,20.0,15.0,18.0
600,19.0,14.0,8.0,18.0
601,21.0,11.0,8.0,21.0
602,9.0,20.0,12.0,11.0
603,16.0,11.0,9.0,9.0
604,11.0,9.0,18.0,15.0
605,15.0,14.0,17.0,13.0
606,17.0,11.0,11.0,10.0
607,17.0,15.0,12.0,19.0
608,20.0,18.0,18.0,18.0
609,18.0,18.0,13.0,8.0
610,12.0,20.0,4.0,19.0
611,14.0,13.0,20.0,17.0
612,15.0,10.0,13.0,5.0
613,17.0,11.0,16.0,6.0
614,12.0,13.0,15.0,19.0
615,16.0,19.0,9.0,17.0
616,16.0,17.0,11.0,15.0
617,13.0,12.0,17.0,18.0
618,12.0,16.0,17.0,15.0
619,19.0,17.0,12.0,21.0
620,16.0,18.0,10.0,12.0
621,15.0,12.0,14.0,9.0
622,7.0,11.0,14.0,10.0
623,10.0,13.0,10.0,24.0
624,15.0,18.0,16.0,17.0
625,16.0,11.0,19.0,12.0
626,15.0,11.0,16.0,20.0
627,6.0,12.0,21.0,17.0
628,17.0,13.0,14.0,12.0
629,14.0,17.0,7.0,11.0
630,18.0,10.0,14.0,18.0
631,22.0,15.0,15.0,18.0
632,7.0,15.0,10.0,16.0
633,18.0,13.0,10.0,18.0
634,16.0,22.0,20.0,12.0
635,17.0,11.0,12.0,15.0
636,15.0,18.0,15.0,21.0
637,15.0,15.0,16.0,17.0
638,17.0,15.0,8.0,14.0
639,14.0,12.0,17.0,12.0
640,21.0,17.0,13.0,18.0
641,12.0,15.0,18.0,19.0
642,13.0,12.0,16.0,14.0
643,21.0,17.0,15.0,15.0
644,15.0,16.0,15.0,17.0
645,9.0,18.0,15.0,12.0
646,18.0,13.0,16.0,11.0
647,16.0,19.0,13.0,16.0
648,14.0,14.0,14.0,12.0
649,16.0,18.0,18.0,12.0
650,17.0,7.0,13.0,11.0
651,16.0,15.0,17.0,12.0
652,14.0,14.0,14.0,19.0
653,18.0,14.0,18.0,14.0
654,17.0,11.0,11.0,15.0
655,16.0,16.0,14.0,15.0
656,14.0,15.0,15.0,11.0
657,24.0,12.0,16.0,15.0
658,19.0,18.0,10.0,13.0
659,17.0,16.0,18.0,13.0
660,14.0,18.0,15.0,13.0
661,19.0,18.0,10.0,11.0
662,15.0,20.0,19.0,18.0
663,19.0,18.0,14.0,19.0
664,15.0,14.0,17.0,19.0
665,15.0,16.0,17.0,20.0
666,21.0,17.0,12.0,13.0
667,21.0,23.0,14.0,11.0
668,11.0,9.0,16.0,18.0
669,15.0,14.0,17.0,13.0
670,15.0,10.0,13.0,17.0
671,17.0,16.0,16.0,14.0
672,15.0,11.0,18.0,21.0
673,16.0,14.0,9.0,15.0
674,15.0,18.0,15.0,17.0
675,23.0,10.0,17.0,19.0
676,19.0,14.0,18.0,10.0
677,6.0,13.0,21.0,17.0
678,25.0,8.0,6.0,11.0
679,15.0,25.0,17.0,14.0
680,19.0,16.0,19.0,18.0
681,14.0,14.0,15.0,12.0
682,18.0,18.0,20.0,19.0
683,4.0,17.0,15.0,18.0
684,22.0,18.0,10.0,11.0
685,19.0,13.0,13.0,14.0
686,15.0,19.0,15.0,15.0
687,14.0,19.0,15.0,17.0
